service_name,latitude,longitude,service_type,service_icon,last_updated_at_UTC
Eastern Creek Organic Resource Recovery Facility,-33.8063287,150.851686299999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Paget Transfer Station,-21.1935109,149.164122899999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Wingfield Service Centre,-34.841899,138.556331,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Ryde Resource Recovery Centre,-33.785849,151.1384991,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Auburn Resource Recovery Centre,-33.8446289,151.058833,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Campbelltown Service Centre,-34.0584574,150.8479703,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Seven Hills Resource Recovery Centre,-33.7757289,150.952007099999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Rocklea Service Centre,-27.5589109,153.0001336,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Central Coast Resource Recovery Centre,-33.415831,151.321986,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Moruya Resource Recovery Centre,-35.8770588,150.086399799999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Eastern Creek Service Centre,-33.806280,150.851493,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Shoalhaven Service Centre,-34.909153,150.5861942,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Hogans Pocket Landfill,-21.3644986,148.9564218,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Kooragang Island Water Scheme,-32.8792181,151.7198639,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Nudgee Service Centre,-27.3860433999999,153.0927248,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
SUEZ Water Technologies Queensland,-23.947886,151.374559,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
North Bannister Resource Recovery Park,-32.5818943,116.4452825,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Cronulla Wastewater Treatment Plant,-34.0300531,151.1655708,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Dandenong South State Office,-38.020481,145.244470,Office,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-office-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=577AC553D1FDFE4A9261A552948E11A7FA7E4A61,12-Dec-2021 15:14:47
Central Coast Transfer Station,-33.415619,151.322070,Transfer station,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-transferstation-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=B909C1694C98823C25251D30A8885F69B9C5C91D,12-Dec-2021 15:14:47
Kalgoorlie Service Centre,-30.7944495,121.490245,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Yorke Peninsula Service Centre,-34.7638195,137.594734499999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Mangere Wastewater Treatment plant,-36.9641749,174.777331399999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Aroona Alliance,-31.9079767,115.805869,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Queensland State Office,-27.388034,153.090110,Office,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-office-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=577AC553D1FDFE4A9261A552948E11A7FA7E4A61,12-Dec-2021 15:14:47
Pimpama Recycled Treatment Plant,-27.816667,153.299999999999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Perth Medical Solutions,-32.0018855,115.9701038,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Bathurst Service Centre,-33.4252059,149.6163685,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Bibra Lake Resource Recovery Park,-32.1101558,115.806053799999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Perth Seawater Desalination Plant,-32.2048199,115.7735708,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Noosa Sewage Treatment Plant,-26.4133712,153.0864827,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Artarmon Resource Recovery Centre,-33.8195051,151.1868415,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Bibra Lake Organic Transfer Station,-32.1105042,115.811315499999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Shale Road Landfill,-32.2630641,116.0142462,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Campbellfield Service Centre,-37.6507853,144.964227299999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Eurobodalla Service Centre,-35.877226,150.086303,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Neerabup Biovision Advanced Resource Recovery Facility,-31.6774563,115.8080264,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
